"COU","Country","VAR","Variable - Red List","YEA","Year","Value","Flag Codes","Flags"
"LUX","Luxembourg","INDEX","Red List Index","2011","2011",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2012","2012",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2013","2013",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2014","2014",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2015","2015",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2016","2016",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2017","2017",0.985,,
"LUX","Luxembourg","INDEX","Red List Index","2018","2018",0.985,,
"LUX","Luxembourg","INDEX","Red List Index","2019","2019",0.985,,
"LUX","Luxembourg","INDEX","Red List Index","2020","2020",0.985,,
"LUX","Luxembourg","INDEX","Red List Index","2021","2021",0.985,,
"PRT","Portugal","LOWER","Lower Bound","2001","2001",0.869,,
"PRT","Portugal","LOWER","Lower Bound","2002","2002",0.869,,
"PRT","Portugal","LOWER","Lower Bound","2003","2003",0.868,,
"PRT","Portugal","LOWER","Lower Bound","2004","2004",0.867,,
"PRT","Portugal","LOWER","Lower Bound","2005","2005",0.866,,
"PRT","Portugal","LOWER","Lower Bound","2006","2006",0.864,,
"PRT","Portugal","LOWER","Lower Bound","2007","2007",0.863,,
"PRT","Portugal","LOWER","Lower Bound","2008","2008",0.863,,
"PRT","Portugal","LOWER","Lower Bound","2009","2009",0.862,,
"PRT","Portugal","LOWER","Lower Bound","2010","2010",0.861,,
"PRT","Portugal","LOWER","Lower Bound","2011","2011",0.862,,
"PRT","Portugal","LOWER","Lower Bound","2012","2012",0.861,,
"PRT","Portugal","LOWER","Lower Bound","2013","2013",0.86,,
"PRT","Portugal","LOWER","Lower Bound","2014","2014",0.859,,
"PRT","Portugal","LOWER","Lower Bound","2015","2015",0.858,,
"PRT","Portugal","LOWER","Lower Bound","2016","2016",0.856,,
"PRT","Portugal","LOWER","Lower Bound","2017","2017",0.855,,
"PRT","Portugal","LOWER","Lower Bound","2018","2018",0.852,,
"PRT","Portugal","LOWER","Lower Bound","2019","2019",0.851,,
"PRT","Portugal","LOWER","Lower Bound","2020","2020",0.848,,
"PRT","Portugal","LOWER","Lower Bound","2021","2021",0.847,,
"CHE","Switzerland","UPPER","Upper Bound","2001","2001",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2002","2002",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2003","2003",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2004","2004",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2005","2005",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2006","2006",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2007","2007",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2008","2008",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2009","2009",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2010","2010",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2011","2011",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2012","2012",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2013","2013",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2014","2014",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2015","2015",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2016","2016",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2017","2017",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2018","2018",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2019","2019",0.973,,
"CHE","Switzerland","UPPER","Upper Bound","2020","2020",0.974,,
"CHE","Switzerland","UPPER","Upper Bound","2021","2021",0.974,,
"ITA","Italy","LOWER","Lower Bound","2001","2001",0.903,,
"ITA","Italy","LOWER","Lower Bound","2002","2002",0.903,,
"ITA","Italy","LOWER","Lower Bound","2003","2003",0.902,,
"ITA","Italy","LOWER","Lower Bound","2004","2004",0.902,,
"ITA","Italy","LOWER","Lower Bound","2005","2005",0.901,,
"ITA","Italy","LOWER","Lower Bound","2006","2006",0.901,,
"ITA","Italy","LOWER","Lower Bound","2007","2007",0.901,,
"ITA","Italy","LOWER","Lower Bound","2008","2008",0.9,,
"ITA","Italy","LOWER","Lower Bound","2009","2009",0.899,,
"ITA","Italy","LOWER","Lower Bound","2010","2010",0.899,,
"ITA","Italy","LOWER","Lower Bound","2011","2011",0.898,,
"ITA","Italy","LOWER","Lower Bound","2012","2012",0.897,,
"ITA","Italy","LOWER","Lower Bound","2013","2013",0.897,,
"ITA","Italy","LOWER","Lower Bound","2014","2014",0.896,,
"ITA","Italy","LOWER","Lower Bound","2015","2015",0.895,,
"ITA","Italy","LOWER","Lower Bound","2016","2016",0.894,,
"ITA","Italy","LOWER","Lower Bound","2017","2017",0.893,,
"ITA","Italy","LOWER","Lower Bound","2018","2018",0.892,,
"ITA","Italy","LOWER","Lower Bound","2019","2019",0.891,,
"ITA","Italy","LOWER","Lower Bound","2020","2020",0.89,,
"ITA","Italy","LOWER","Lower Bound","2021","2021",0.889,,
"LTU","Lithuania","UPPER","Upper Bound","2001","2001",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2002","2002",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2003","2003",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2004","2004",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2005","2005",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2006","2006",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2007","2007",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2008","2008",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2009","2009",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2010","2010",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2011","2011",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2012","2012",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2013","2013",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2014","2014",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2015","2015",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2016","2016",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2017","2017",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2018","2018",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2019","2019",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2020","2020",0.989,,
"LTU","Lithuania","UPPER","Upper Bound","2021","2021",0.989,,
"LVA","Latvia","INDEX","Red List Index","2001","2001",0.989,,
"LVA","Latvia","INDEX","Red List Index","2002","2002",0.989,,
"LVA","Latvia","INDEX","Red List Index","2003","2003",0.989,,
"LVA","Latvia","INDEX","Red List Index","2004","2004",0.989,,
"LVA","Latvia","INDEX","Red List Index","2005","2005",0.989,,
"LVA","Latvia","INDEX","Red List Index","2006","2006",0.989,,
"LVA","Latvia","INDEX","Red List Index","2007","2007",0.989,,
"LVA","Latvia","INDEX","Red List Index","2008","2008",0.989,,
"LVA","Latvia","INDEX","Red List Index","2009","2009",0.989,,
"LVA","Latvia","INDEX","Red List Index","2010","2010",0.989,,
"LVA","Latvia","INDEX","Red List Index","2011","2011",0.989,,
"LVA","Latvia","INDEX","Red List Index","2012","2012",0.989,,
"LVA","Latvia","INDEX","Red List Index","2013","2013",0.989,,
"LVA","Latvia","INDEX","Red List Index","2014","2014",0.989,,
"LVA","Latvia","INDEX","Red List Index","2015","2015",0.989,,
"LVA","Latvia","INDEX","Red List Index","2016","2016",0.989,,
"LVA","Latvia","INDEX","Red List Index","2017","2017",0.989,,
"LVA","Latvia","INDEX","Red List Index","2018","2018",0.989,,
"LVA","Latvia","INDEX","Red List Index","2019","2019",0.989,,
"LVA","Latvia","INDEX","Red List Index","2020","2020",0.989,,
"LVA","Latvia","INDEX","Red List Index","2021","2021",0.989,,
"FRA","France","UPPER","Upper Bound","2001","2001",0.92,,
"FRA","France","UPPER","Upper Bound","2002","2002",0.917,,
"FRA","France","UPPER","Upper Bound","2003","2003",0.913,,
"FRA","France","UPPER","Upper Bound","2004","2004",0.908,,
"FRA","France","UPPER","Upper Bound","2005","2005",0.905,,
"FRA","France","UPPER","Upper Bound","2006","2006",0.9,,
"FRA","France","UPPER","Upper Bound","2007","2007",0.895,,
"FRA","France","UPPER","Upper Bound","2008","2008",0.89,,
"FRA","France","UPPER","Upper Bound","2009","2009",0.887,,
"FRA","France","UPPER","Upper Bound","2010","2010",0.884,,
"FRA","France","UPPER","Upper Bound","2011","2011",0.883,,
"FRA","France","UPPER","Upper Bound","2012","2012",0.882,,
"FRA","France","UPPER","Upper Bound","2013","2013",0.882,,
"FRA","France","UPPER","Upper Bound","2014","2014",0.881,,
"FRA","France","UPPER","Upper Bound","2015","2015",0.881,,
"FRA","France","UPPER","Upper Bound","2016","2016",0.88,,
"FRA","France","UPPER","Upper Bound","2017","2017",0.88,,
"FRA","France","UPPER","Upper Bound","2018","2018",0.88,,
"FRA","France","UPPER","Upper Bound","2019","2019",0.879,,
"FRA","France","UPPER","Upper Bound","2020","2020",0.878,,
"FRA","France","UPPER","Upper Bound","2021","2021",0.878,,
"ISL","Iceland","INDEX","Red List Index","2001","2001",0.872,,
"ISL","Iceland","INDEX","Red List Index","2002","2002",0.872,,
"ISL","Iceland","INDEX","Red List Index","2003","2003",0.872,,
"ISL","Iceland","INDEX","Red List Index","2004","2004",0.871,,
"ISL","Iceland","INDEX","Red List Index","2005","2005",0.872,,
"ISL","Iceland","INDEX","Red List Index","2006","2006",0.874,,
"ISL","Iceland","INDEX","Red List Index","2007","2007",0.875,,
"ISL","Iceland","INDEX","Red List Index","2008","2008",0.877,,
"ISL","Iceland","INDEX","Red List Index","2009","2009",0.877,,
"ISL","Iceland","INDEX","Red List Index","2010","2010",0.878,,
"ISL","Iceland","INDEX","Red List Index","2011","2011",0.877,,
"ISL","Iceland","INDEX","Red List Index","2012","2012",0.875,,
"ISL","Iceland","INDEX","Red List Index","2013","2013",0.871,,
"ISL","Iceland","INDEX","Red List Index","2014","2014",0.87,,
"ISL","Iceland","INDEX","Red List Index","2015","2015",0.867,,
"ISL","Iceland","INDEX","Red List Index","2016","2016",0.866,,
"ISL","Iceland","INDEX","Red List Index","2017","2017",0.865,,
"ISL","Iceland","INDEX","Red List Index","2018","2018",0.865,,
"ISL","Iceland","INDEX","Red List Index","2019","2019",0.865,,
"ISL","Iceland","INDEX","Red List Index","2020","2020",0.865,,
"ISL","Iceland","INDEX","Red List Index","2021","2021",0.866,,
"ESP","Spain","UPPER","Upper Bound","2001","2001",0.85,,
"ESP","Spain","UPPER","Upper Bound","2002","2002",0.85,,
"ESP","Spain","UPPER","Upper Bound","2003","2003",0.849,,
"ESP","Spain","UPPER","Upper Bound","2004","2004",0.849,,
"ESP","Spain","UPPER","Upper Bound","2005","2005",0.849,,
"ESP","Spain","UPPER","Upper Bound","2006","2006",0.849,,
"ESP","Spain","UPPER","Upper Bound","2007","2007",0.849,,
"ESP","Spain","UPPER","Upper Bound","2008","2008",0.849,,
"ESP","Spain","UPPER","Upper Bound","2009","2009",0.849,,
"ESP","Spain","UPPER","Upper Bound","2010","2010",0.85,,
"ESP","Spain","UPPER","Upper Bound","2011","2011",0.85,,
"ESP","Spain","UPPER","Upper Bound","2012","2012",0.85,,
"ESP","Spain","UPPER","Upper Bound","2013","2013",0.85,,
"ESP","Spain","UPPER","Upper Bound","2014","2014",0.85,,
"ESP","Spain","UPPER","Upper Bound","2015","2015",0.85,,
"ESP","Spain","UPPER","Upper Bound","2016","2016",0.85,,
"ESP","Spain","UPPER","Upper Bound","2017","2017",0.85,,
"ESP","Spain","UPPER","Upper Bound","2018","2018",0.85,,
"ESP","Spain","UPPER","Upper Bound","2019","2019",0.85,,
"ESP","Spain","UPPER","Upper Bound","2020","2020",0.85,,
"ESP","Spain","UPPER","Upper Bound","2021","2021",0.85,,
"DEU","Germany","LOWER","Lower Bound","2001","2001",0.981,,
"DEU","Germany","LOWER","Lower Bound","2002","2002",0.981,,
"DEU","Germany","LOWER","Lower Bound","2003","2003",0.981,,
"DEU","Germany","LOWER","Lower Bound","2004","2004",0.981,,
"DEU","Germany","LOWER","Lower Bound","2005","2005",0.981,,
"DEU","Germany","LOWER","Lower Bound","2006","2006",0.981,,
"DEU","Germany","LOWER","Lower Bound","2007","2007",0.981,,
"DEU","Germany","LOWER","Lower Bound","2008","2008",0.981,,
"DEU","Germany","LOWER","Lower Bound","2009","2009",0.981,,
"DEU","Germany","LOWER","Lower Bound","2010","2010",0.981,,
"DEU","Germany","LOWER","Lower Bound","2011","2011",0.981,,
"DEU","Germany","LOWER","Lower Bound","2012","2012",0.981,,
"DEU","Germany","LOWER","Lower Bound","2013","2013",0.981,,
"DEU","Germany","LOWER","Lower Bound","2014","2014",0.981,,
"DEU","Germany","LOWER","Lower Bound","2015","2015",0.981,,
"DEU","Germany","LOWER","Lower Bound","2016","2016",0.981,,
"DEU","Germany","LOWER","Lower Bound","2017","2017",0.981,,
"DEU","Germany","LOWER","Lower Bound","2018","2018",0.981,,
"DEU","Germany","LOWER","Lower Bound","2019","2019",0.981,,
"DEU","Germany","LOWER","Lower Bound","2020","2020",0.981,,
"DEU","Germany","LOWER","Lower Bound","2021","2021",0.981,,
"GBR","United Kingdom","INDEX","Red List Index","2001","2001",0.965,,
"GBR","United Kingdom","INDEX","Red List Index","2002","2002",0.964,,
"GBR","United Kingdom","INDEX","Red List Index","2003","2003",0.964,,
"GBR","United Kingdom","INDEX","Red List Index","2004","2004",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2005","2005",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2006","2006",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2007","2007",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2008","2008",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2009","2009",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2010","2010",0.964,,
"GBR","United Kingdom","INDEX","Red List Index","2011","2011",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2012","2012",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2013","2013",0.963,,
"GBR","United Kingdom","INDEX","Red List Index","2014","2014",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2015","2015",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2016","2016",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2017","2017",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2018","2018",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2019","2019",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2020","2020",0.962,,
"GBR","United Kingdom","INDEX","Red List Index","2021","2021",0.962,,
"SVN","Slovenia","LOWER","Lower Bound","2001","2001",0.931,,
"SVN","Slovenia","LOWER","Lower Bound","2002","2002",0.93,,
"SVN","Slovenia","LOWER","Lower Bound","2003","2003",0.93,,
"SVN","Slovenia","LOWER","Lower Bound","2004","2004",0.93,,
"SVN","Slovenia","LOWER","Lower Bound","2005","2005",0.93,,
"SVN","Slovenia","LOWER","Lower Bound","2006","2006",0.929,,
"SVN","Slovenia","LOWER","Lower Bound","2007","2007",0.929,,
"SVN","Slovenia","LOWER","Lower Bound","2008","2008",0.929,,
"SVN","Slovenia","LOWER","Lower Bound","2009","2009",0.929,,
"SVN","Slovenia","LOWER","Lower Bound","2010","2010",0.928,,
"SVN","Slovenia","LOWER","Lower Bound","2011","2011",0.928,,
"SVN","Slovenia","LOWER","Lower Bound","2012","2012",0.928,,
"SVN","Slovenia","LOWER","Lower Bound","2013","2013",0.927,,
"SVN","Slovenia","LOWER","Lower Bound","2014","2014",0.927,,
"SVN","Slovenia","LOWER","Lower Bound","2015","2015",0.927,,
"SVN","Slovenia","LOWER","Lower Bound","2016","2016",0.926,,
"SVN","Slovenia","LOWER","Lower Bound","2017","2017",0.926,,
"SVN","Slovenia","LOWER","Lower Bound","2018","2018",0.926,,
"SVN","Slovenia","LOWER","Lower Bound","2019","2019",0.925,,
"SVN","Slovenia","LOWER","Lower Bound","2020","2020",0.925,,
"SVN","Slovenia","LOWER","Lower Bound","2021","2021",0.925,,
"GRC","Greece","INDEX","Red List Index","2001","2001",0.84,,
"GRC","Greece","INDEX","Red List Index","2002","2002",0.84,,
"GRC","Greece","INDEX","Red List Index","2003","2003",0.84,,
"GRC","Greece","INDEX","Red List Index","2004","2004",0.841,,
"GRC","Greece","INDEX","Red List Index","2005","2005",0.842,,
"GRC","Greece","INDEX","Red List Index","2006","2006",0.842,,
"GRC","Greece","INDEX","Red List Index","2007","2007",0.842,,
"GRC","Greece","INDEX","Red List Index","2008","2008",0.842,,
"GRC","Greece","INDEX","Red List Index","2009","2009",0.842,,
"GRC","Greece","INDEX","Red List Index","2010","2010",0.843,,
"GRC","Greece","INDEX","Red List Index","2011","2011",0.842,,
"GRC","Greece","INDEX","Red List Index","2012","2012",0.842,,
"GRC","Greece","INDEX","Red List Index","2013","2013",0.841,,
"GRC","Greece","INDEX","Red List Index","2014","2014",0.84,,
"GRC","Greece","INDEX","Red List Index","2015","2015",0.839,,
"GRC","Greece","INDEX","Red List Index","2016","2016",0.838,,
"GRC","Greece","INDEX","Red List Index","2017","2017",0.837,,
"GRC","Greece","INDEX","Red List Index","2018","2018",0.836,,
"GRC","Greece","INDEX","Red List Index","2019","2019",0.835,,
"GRC","Greece","INDEX","Red List Index","2020","2020",0.835,,
"GRC","Greece","INDEX","Red List Index","2021","2021",0.834,,
"NOR","Norway","LOWER","Lower Bound","2001","2001",0.952,,
"NOR","Norway","LOWER","Lower Bound","2002","2002",0.951,,
"NOR","Norway","LOWER","Lower Bound","2003","2003",0.951,,
"NOR","Norway","LOWER","Lower Bound","2004","2004",0.951,,
"NOR","Norway","LOWER","Lower Bound","2005","2005",0.95,,
"NOR","Norway","LOWER","Lower Bound","2006","2006",0.949,,
"NOR","Norway","LOWER","Lower Bound","2007","2007",0.948,,
"NOR","Norway","LOWER","Lower Bound","2008","2008",0.947,,
"NOR","Norway","LOWER","Lower Bound","2009","2009",0.947,,
"NOR","Norway","LOWER","Lower Bound","2010","2010",0.946,,
"NOR","Norway","LOWER","Lower Bound","2011","2011",0.944,,
"NOR","Norway","LOWER","Lower Bound","2012","2012",0.943,,
"NOR","Norway","LOWER","Lower Bound","2013","2013",0.942,,
"NOR","Norway","LOWER","Lower Bound","2014","2014",0.94,,
"NOR","Norway","LOWER","Lower Bound","2015","2015",0.938,,
"NOR","Norway","LOWER","Lower Bound","2016","2016",0.938,,
"NOR","Norway","LOWER","Lower Bound","2017","2017",0.936,,
"NOR","Norway","LOWER","Lower Bound","2018","2018",0.936,,
"NOR","Norway","LOWER","Lower Bound","2019","2019",0.935,,
"NOR","Norway","LOWER","Lower Bound","2020","2020",0.934,,
"NOR","Norway","LOWER","Lower Bound","2021","2021",0.934,,
"SVK","Slovak Republic","INDEX","Red List Index","2001","2001",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2002","2002",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2003","2003",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2004","2004",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2005","2005",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2006","2006",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2007","2007",0.951,,
"SVK","Slovak Republic","INDEX","Red List Index","2008","2008",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2009","2009",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2010","2010",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2011","2011",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2012","2012",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2013","2013",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2014","2014",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2015","2015",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2016","2016",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2017","2017",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2018","2018",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2019","2019",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2020","2020",0.952,,
"SVK","Slovak Republic","INDEX","Red List Index","2021","2021",0.952,,
"CZE","Czechia","INDEX","Red List Index","2001","2001",0.969,,
"CZE","Czechia","INDEX","Red List Index","2002","2002",0.969,,
"CZE","Czechia","INDEX","Red List Index","2003","2003",0.969,,
"CZE","Czechia","INDEX","Red List Index","2004","2004",0.969,,
"CZE","Czechia","INDEX","Red List Index","2005","2005",0.969,,
"CZE","Czechia","INDEX","Red List Index","2006","2006",0.969,,
"CZE","Czechia","INDEX","Red List Index","2007","2007",0.969,,
"CZE","Czechia","INDEX","Red List Index","2008","2008",0.969,,
"CZE","Czechia","INDEX","Red List Index","2009","2009",0.969,,
"CZE","Czechia","INDEX","Red List Index","2010","2010",0.97,,
"CZE","Czechia","INDEX","Red List Index","2011","2011",0.97,,
"CZE","Czechia","INDEX","Red List Index","2012","2012",0.97,,
"CZE","Czechia","INDEX","Red List Index","2013","2013",0.97,,
"CZE","Czechia","INDEX","Red List Index","2014","2014",0.97,,
"CZE","Czechia","INDEX","Red List Index","2015","2015",0.97,,
"CZE","Czechia","INDEX","Red List Index","2016","2016",0.97,,
"CZE","Czechia","INDEX","Red List Index","2017","2017",0.97,,
"CZE","Czechia","INDEX","Red List Index","2018","2018",0.97,,
"CZE","Czechia","INDEX","Red List Index","2019","2019",0.971,,
"CZE","Czechia","INDEX","Red List Index","2020","2020",0.971,,
"CZE","Czechia","INDEX","Red List Index","2021","2021",0.971,,
"TUR","Türkiye","LOWER","Lower Bound","2001","2001",0.883,,
"TUR","Türkiye","LOWER","Lower Bound","2002","2002",0.882,,
"TUR","Türkiye","LOWER","Lower Bound","2003","2003",0.882,,
"TUR","Türkiye","LOWER","Lower Bound","2004","2004",0.881,,
"TUR","Türkiye","LOWER","Lower Bound","2005","2005",0.88,,
"TUR","Türkiye","LOWER","Lower Bound","2006","2006",0.88,,
"TUR","Türkiye","LOWER","Lower Bound","2007","2007",0.878,,
"TUR","Türkiye","LOWER","Lower Bound","2008","2008",0.878,,
"TUR","Türkiye","LOWER","Lower Bound","2009","2009",0.877,,
"TUR","Türkiye","LOWER","Lower Bound","2010","2010",0.875,,
"TUR","Türkiye","LOWER","Lower Bound","2011","2011",0.875,,
"TUR","Türkiye","LOWER","Lower Bound","2012","2012",0.873,,
"TUR","Türkiye","LOWER","Lower Bound","2013","2013",0.872,,
"TUR","Türkiye","LOWER","Lower Bound","2014","2014",0.871,,
"TUR","Türkiye","LOWER","Lower Bound","2015","2015",0.87,,
"TUR","Türkiye","LOWER","Lower Bound","2016","2016",0.869,,
"TUR","Türkiye","LOWER","Lower Bound","2017","2017",0.868,,
"TUR","Türkiye","LOWER","Lower Bound","2018","2018",0.867,,
"TUR","Türkiye","LOWER","Lower Bound","2019","2019",0.866,,
"TUR","Türkiye","LOWER","Lower Bound","2020","2020",0.864,,
"TUR","Türkiye","LOWER","Lower Bound","2021","2021",0.863,,
"AUT","Austria","LOWER","Lower Bound","2001","2001",0.894,,
"AUT","Austria","LOWER","Lower Bound","2002","2002",0.894,,
"AUT","Austria","LOWER","Lower Bound","2003","2003",0.894,,
"AUT","Austria","LOWER","Lower Bound","2004","2004",0.894,,
"AUT","Austria","LOWER","Lower Bound","2005","2005",0.894,,
"AUT","Austria","LOWER","Lower Bound","2006","2006",0.894,,
"AUT","Austria","LOWER","Lower Bound","2007","2007",0.894,,
"AUT","Austria","LOWER","Lower Bound","2008","2008",0.895,,
"AUT","Austria","LOWER","Lower Bound","2009","2009",0.895,,
"AUT","Austria","LOWER","Lower Bound","2010","2010",0.895,,
"AUT","Austria","LOWER","Lower Bound","2011","2011",0.895,,
"AUT","Austria","LOWER","Lower Bound","2012","2012",0.895,,
"AUT","Austria","LOWER","Lower Bound","2013","2013",0.895,,
"AUT","Austria","LOWER","Lower Bound","2014","2014",0.895,,
"AUT","Austria","LOWER","Lower Bound","2015","2015",0.895,,
"AUT","Austria","LOWER","Lower Bound","2016","2016",0.895,,
"AUT","Austria","LOWER","Lower Bound","2017","2017",0.895,,
"AUT","Austria","LOWER","Lower Bound","2018","2018",0.895,,
"AUT","Austria","LOWER","Lower Bound","2019","2019",0.895,,
"AUT","Austria","LOWER","Lower Bound","2020","2020",0.895,,
"AUT","Austria","LOWER","Lower Bound","2021","2021",0.895,,
"DNK","Denmark","UPPER","Upper Bound","2001","2001",0.978,,
"DNK","Denmark","UPPER","Upper Bound","2002","2002",0.977,,
"DNK","Denmark","UPPER","Upper Bound","2003","2003",0.977,,
"DNK","Denmark","UPPER","Upper Bound","2004","2004",0.977,,
"DNK","Denmark","UPPER","Upper Bound","2005","2005",0.976,,
"DNK","Denmark","UPPER","Upper Bound","2006","2006",0.976,,
"DNK","Denmark","UPPER","Upper Bound","2007","2007",0.976,,
"DNK","Denmark","UPPER","Upper Bound","2008","2008",0.976,,
"DNK","Denmark","UPPER","Upper Bound","2009","2009",0.976,,
"DNK","Denmark","UPPER","Upper Bound","2010","2010",0.977,,
"DNK","Denmark","UPPER","Upper Bound","2011","2011",0.977,,
"DNK","Denmark","UPPER","Upper Bound","2012","2012",0.978,,
"DNK","Denmark","UPPER","Upper Bound","2013","2013",0.978,,
